wpa,abierta,wep,ccmp,tkip,banda,canal,senal,radio,resultado
0,1,0,0,0,2.4,2,22,1,0
0,0,1,0,1,6,12,28,2,0
0,1,0,0,0,6,6,22,1,0
1,0,0,1,0,5,6,77,2,1
0,0,1,1,0,6,10,64,2,0
1,0,0,0,1,5,1,91,1,0
1,0,0,0,1,2.4,9,25,2,0
0,0,1,1,0,5,5,96,1,0
0,1,0,0,0,5,3,66,1,0
0,1,0,0,0,5,6,66,1,0
0,1,0,0,0,5,10,41,2,0
0,0,1,1,0,2.4,1,97,1,0
0,1,0,0,0,6,3,37,2,0
1,0,0,0,1,5,7,92,0,0
0,1,0,0,0,5,13,25,0,0
1,0,0,0,1,2.4,7,47,0,0
1,0,0,1,0,5,6,72,0,1
1,0,0,1,0,5,12,43,0,1
0,1,0,0,0,6,13,21,1,0
0,0,1,0,1,5,7,86,1,0
1,0,0,1,0,2.4,12,72,0,1
1,0,0,0,1,5,2,29,2,0
0,1,0,0,0,6,9,92,2,0
1,0,0,0,1,2.4,3,91,1,0
0,0,1,0,1,2.4,5,98,2,0
1,0,0,0,1,6,10,66,0,0
1,0,0,1,0,6,6,92,1,1
0,1,0,0,0,6,9,80,1,0
0,1,0,0,0,5,4,41,1,0
0,1,0,0,0,6,9,72,1,0
1,0,0,1,0,5,4,87,1,1
0,1,0,0,0,2.4,13,26,2,0
0,0,1,0,1,2.4,11,97,1,0
0,1,0,0,0,5,3,39,0,0
1,0,0,0,1,6,5,72,0,0
0,1,0,0,0,2.4,7,24,2,0
0,0,1,0,1,6,6,99,0,0
1,0,0,1,0,2.4,5,22,2,1
1,0,0,1,0,6,4,63,1,1
1,0,0,0,1,2.4,7,53,1,0
0,1,0,0,0,2.4,6,68,0,0
1,0,0,1,0,5,4,35,2,1
1,0,0,1,0,5,1,67,1,1
0,1,0,0,0,6,8,26,2,0
0,1,0,0,0,2.4,11,25,1,0
0,0,1,0,1,2.4,4,48,1,0
1,0,0,0,1,2.4,1,97,1,0
0,1,0,0,0,6,7,56,2,0
0,1,0,0,0,2.4,1,72,0,0
1,0,0,1,0,5,11,53,2,1
1,0,0,0,1,6,4,37,1,0
0,1,0,0,0,5,8,89,0,0
0,1,0,0,0,5,13,52,0,0
0,0,1,0,1,5,4,84,1,0
0,1,0,0,0,6,10,63,2,0
1,0,0,0,1,2.4,6,89,0,0
1,0,0,0,1,2.4,4,34,1,0
0,1,0,0,0,5,3,100,2,0
1,0,0,1,0,2.4,4,33,1,1
0,1,0,0,0,5,4,24,1,0
0,1,0,0,0,6,11,25,1,0
0,1,0,0,0,5,2,74,0,0
1,0,0,0,1,2.4,8,60,1,0
0,1,0,0,0,5,8,54,0,0
1,0,0,1,0,6,13,35,0,1
1,0,0,0,1,6,4,51,2,0
1,0,0,1,0,5,10,30,1,1
1,0,0,0,1,5,4,77,1,0
0,1,0,0,0,6,6,52,0,0
0,1,0,0,0,2.4,3,23,0,0
0,1,0,0,0,5,6,93,1,0
0,1,0,0,0,6,1,55,0,0
0,1,0,0,0,2.4,1,35,1,0
0,0,1,1,0,6,7,40,0,0
0,0,1,1,0,5,7,77,2,0
0,1,0,0,0,6,13,77,0,0
0,0,1,1,0,6,10,52,2,0
0,1,0,0,0,5,7,26,0,0
0,1,0,0,0,6,8,88,2,0
1,0,0,0,1,5,2,100,0,0
0,1,0,0,0,6,13,61,2,0
1,0,0,0,1,6,4,75,1,0
1,0,0,1,0,6,12,74,0,1
1,0,0,0,1,2.4,6,30,1,0
0,1,0,0,0,2.4,12,84,1,0
1,0,0,1,0,2.4,10,40,2,1
0,1,0,0,0,2.4,5,57,0,0
0,1,0,0,0,6,3,96,0,0
1,0,0,0,1,5,8,58,1,0
1,0,0,1,0,6,13,43,2,1
0,0,1,1,0,6,1,96,0,0
0,1,0,0,0,6,11,48,0,0
0,1,0,0,0,2.4,6,98,0,0
0,0,1,0,1,5,8,22,0,0
1,0,0,0,1,2.4,8,85,0,0
0,1,0,0,0,2.4,13,20,2,0
0,1,0,0,0,6,6,32,2,0
0,0,1,1,0,6,2,40,2,0
0,1,0,0,0,6,7,31,2,0
0,0,1,1,0,6,1,26,0,0
0,0,1,0,1,2.4,8,88,2,0
0,1,0,0,0,5,8,94,1,0
1,0,0,1,0,6,13,24,1,1
0,0,1,0,1,5,6,51,2,0
1,0,0,0,1,5,11,92,1,0
1,0,0,1,0,2.4,11,51,1,1
0,1,0,0,0,6,1,89,1,0
1,0,0,1,0,5,9,32,0,1
0,0,1,1,0,6,8,85,1,0
0,1,0,0,0,5,8,76,1,0
0,1,0,0,0,5,11,37,0,0
1,0,0,1,0,6,2,75,1,1
0,1,0,0,0,5,5,65,2,0
0,1,0,0,0,2.4,6,69,1,0
0,1,0,0,0,5,3,34,1,0
1,0,0,0,1,5,12,25,2,0
0,1,0,0,0,2.4,4,56,0,0
1,0,0,1,0,5,6,25,0,1
1,0,0,1,0,6,5,55,0,1
1,0,0,0,1,6,4,73,0,0
1,0,0,0,1,2.4,7,77,0,0
0,1,0,0,0,6,7,37,1,0
0,0,1,0,1,5,6,27,1,0
0,1,0,0,0,6,12,25,1,0
0,1,0,0,0,6,12,39,2,0
1,0,0,0,1,2.4,3,33,1,0
1,0,0,1,0,6,3,76,2,1
0,1,0,0,0,2.4,4,88,2,0
1,0,0,1,0,5,3,20,1,1
0,1,0,0,0,6,3,35,2,0
0,1,0,0,0,6,10,62,1,0
1,0,0,0,1,2.4,6,66,0,0
0,1,0,0,0,5,9,31,0,0
0,1,0,0,0,2.4,3,46,2,0
0,1,0,0,0,6,12,98,2,0
1,0,0,1,0,5,10,66,1,1
0,1,0,0,0,6,10,66,2,0
0,1,0,0,0,6,6,29,2,0
0,1,0,0,0,5,10,54,2,0
1,0,0,0,1,6,8,87,2,0
0,0,1,1,0,2.4,2,74,1,0
1,0,0,1,0,2.4,6,24,0,1
0,1,0,0,0,2.4,3,48,2,0
1,0,0,0,1,5,13,51,0,0
1,0,0,1,0,6,5,26,1,1
0,1,0,0,0,6,7,68,1,0
1,0,0,1,0,5,12,65,2,1
0,1,0,0,0,2.4,10,27,2,0
0,0,1,0,1,2.4,1,47,2,0
1,0,0,1,0,5,12,69,1,1
1,0,0,0,1,5,10,96,1,0
1,0,0,1,0,6,7,69,2,1
0,1,0,0,0,6,8,28,0,0
1,0,0,0,1,5,11,94,0,0
0,1,0,0,0,5,12,96,0,0
0,1,0,0,0,2.4,11,86,2,0
0,1,0,0,0,6,3,76,0,0
1,0,0,1,0,6,6,74,2,1
0,1,0,0,0,6,3,51,0,0
0,1,0,0,0,5,9,25,2,0
0,1,0,0,0,6,4,37,0,0
0,1,0,0,0,2.4,9,67,1,0
0,1,0,0,0,6,4,69,2,0
0,1,0,0,0,5,2,33,0,0
1,0,0,1,0,5,13,80,1,1
0,0,1,1,0,2.4,7,26,0,0
0,1,0,0,0,2.4,7,99,2,0
0,0,1,1,0,5,13,63,2,0
0,1,0,0,0,6,2,72,0,0
0,1,0,0,0,6,3,44,1,0
1,0,0,1,0,2.4,13,38,0,1
0,1,0,0,0,6,3,58,1,0
1,0,0,1,0,6,11,30,1,1
0,1,0,0,0,5,9,48,1,0
1,0,0,1,0,6,7,65,0,1
0,1,0,0,0,2.4,11,47,1,0
1,0,0,0,1,2.4,8,43,2,0
0,1,0,0,0,5,6,48,1,0
1,0,0,0,1,5,3,84,0,0
0,1,0,0,0,6,5,33,1,0
0,1,0,0,0,6,2,62,2,0
1,0,0,0,1,6,10,75,1,0
0,1,0,0,0,5,13,44,0,0
0,0,1,1,0,5,3,97,2,0
0,1,0,0,0,6,1,81,2,0
0,1,0,0,0,2.4,10,34,1,0
0,1,0,0,0,5,11,55,1,0
1,0,0,1,0,2.4,10,75,1,1
0,1,0,0,0,2.4,2,25,2,0
0,1,0,0,0,2.4,2,37,0,0
0,1,0,0,0,2.4,3,39,0,0
0,1,0,0,0,2.4,3,37,1,0
0,1,0,0,0,6,3,46,0,0
0,1,0,0,0,6,2,78,0,0
0,0,1,1,0,5,10,55,1,0
1,0,0,0,1,2.4,6,72,2,0
1,0,0,0,1,5,8,36,2,0
0,1,0,0,0,2.4,8,22,1,0
0,1,0,0,0,2.4,10,28,0,0
1,0,0,0,1,5,2,58,2,0
0,0,1,0,1,5,10,36,0,0
1,0,0,1,0,2.4,1,68,2,1
0,1,0,0,0,5,4,72,0,0
0,1,0,0,0,6,3,51,0,0
1,0,0,1,0,2.4,9,68,2,1
0,1,0,0,0,2.4,4,33,2,0
0,1,0,0,0,6,10,56,1,0
0,1,0,0,0,6,9,48,1,0
0,1,0,0,0,6,9,80,1,0
0,0,1,0,1,5,10,94,2,0
0,1,0,0,0,6,11,60,0,0
0,1,0,0,0,2.4,9,22,2,0
1,0,0,1,0,5,5,39,0,1
0,0,1,1,0,6,4,84,2,0
1,0,0,1,0,6,4,99,2,1
1,0,0,0,1,2.4,4,92,1,0
0,0,1,1,0,5,3,22,2,0
1,0,0,1,0,5,4,52,0,1
0,1,0,0,0,6,3,87,1,0
1,0,0,1,0,5,4,93,1,1
1,0,0,1,0,5,9,91,2,1
0,1,0,0,0,5,10,73,2,0
1,0,0,1,0,6,12,100,1,1
0,1,0,0,0,6,1,98,1,0
1,0,0,1,0,5,2,22,1,1
0,1,0,0,0,2.4,2,23,2,0
0,1,0,0,0,6,3,36,2,0
0,1,0,0,0,5,3,59,0,0
0,1,0,0,0,6,13,37,1,0
0,1,0,0,0,6,1,80,2,0
1,0,0,0,1,2.4,7,46,0,0
0,1,0,0,0,5,3,37,0,0
0,0,1,1,0,6,12,54,2,0
0,0,1,0,1,5,4,81,1,0
0,1,0,0,0,6,5,70,1,0
1,0,0,1,0,2.4,6,36,2,1
1,0,0,0,1,2.4,1,50,0,0
1,0,0,0,1,6,9,70,1,0
0,1,0,0,0,5,13,80,0,0
0,1,0,0,0,5,9,82,1,0
0,1,0,0,0,5,12,41,1,0
1,0,0,1,0,5,6,28,0,1
0,1,0,0,0,6,12,83,2,0
1,0,0,0,1,2.4,11,74,1,0
1,0,0,1,0,5,4,33,1,1
0,0,1,1,0,5,11,51,2,0
1,0,0,0,1,5,6,58,0,0
0,1,0,0,0,2.4,13,43,1,0
0,1,0,0,0,6,11,70,0,0
1,0,0,0,1,6,8,98,0,0
0,1,0,0,0,5,10,66,0,0
0,1,0,0,0,2.4,6,51,0,0
1,0,0,0,1,6,7,69,2,0
0,1,0,0,0,2.4,3,45,2,0
0,0,1,1,0,2.4,9,84,2,0
1,0,0,0,1,2.4,4,65,2,0
0,1,0,0,0,5,9,92,1,0
1,0,0,1,0,5,9,38,0,1
0,1,0,0,0,6,9,82,0,0
1,0,0,0,1,5,12,92,2,0
0,0,1,1,0,6,12,93,2,0
0,0,1,0,1,2.4,3,27,2,0
1,0,0,1,0,6,3,40,1,1
1,0,0,0,1,2.4,2,63,2,0
1,0,0,0,1,2.4,3,56,0,0
0,1,0,0,0,5,7,29,1,0
0,0,1,0,1,6,2,78,2,0
1,0,0,0,1,6,13,21,2,0
0,1,0,0,0,6,11,92,2,0
0,1,0,0,0,6,8,30,1,0
1,0,0,0,1,5,5,51,2,0
0,1,0,0,0,5,6,55,2,0
1,0,0,0,1,5,10,53,0,0
0,1,0,0,0,6,12,71,2,0
0,1,0,0,0,6,1,37,2,0
1,0,0,1,0,5,12,87,2,1
1,0,0,1,0,6,8,64,2,1
0,1,0,0,0,2.4,2,68,1,0
0,1,0,0,0,5,12,53,1,0
0,1,0,0,0,6,2,34,2,0
0,1,0,0,0,5,3,43,0,0
0,0,1,1,0,5,8,22,0,0
0,1,0,0,0,5,1,59,0,0
0,1,0,0,0,2.4,12,87,2,0
1,0,0,0,1,5,2,44,2,0
0,1,0,0,0,6,13,66,2,0
1,0,0,1,0,6,12,52,0,1
0,1,0,0,0,5,11,75,2,0
0,0,1,0,1,5,10,49,0,0
0,1,0,0,0,5,13,81,0,0
0,1,0,0,0,6,7,45,0,0
0,1,0,0,0,5,9,46,2,0
0,0,1,0,1,5,5,53,2,0
0,1,0,0,0,6,8,43,0,0
0,0,1,0,1,5,2,72,2,0
1,0,0,1,0,6,13,72,1,1
1,0,0,1,0,6,10,42,0,1
0,1,0,0,0,5,1,25,0,0
1,0,0,0,1,6,10,46,0,0
0,1,0,0,0,6,2,76,0,0
0,1,0,0,0,5,11,71,2,0
0,0,1,1,0,6,6,42,0,0
0,1,0,0,0,6,13,45,1,0
1,0,0,1,0,6,4,79,1,1
0,1,0,0,0,6,10,94,1,0
0,1,0,0,0,5,5,98,0,0
0,1,0,0,0,2.4,10,44,1,0
0,0,1,1,0,6,10,51,1,0
0,1,0,0,0,5,4,55,0,0
0,1,0,0,0,5,13,77,2,0
1,0,0,1,0,5,5,26,2,1
1,0,0,1,0,2.4,11,36,1,1
1,0,0,0,1,2.4,10,74,2,0
0,1,0,0,0,6,8,40,1,0
1,0,0,0,1,6,8,27,0,0
0,1,0,0,0,2.4,7,86,2,0
0,0,1,0,1,5,12,47,2,0
0,0,1,1,0,6,12,77,1,0
0,1,0,0,0,5,1,72,1,0
1,0,0,1,0,6,3,80,1,1
0,1,0,0,0,6,3,41,0,0
1,0,0,0,1,5,2,47,2,0
1,0,0,1,0,5,12,92,1,1
0,1,0,0,0,2.4,10,51,0,0
1,0,0,1,0,6,10,42,2,1
0,1,0,0,0,5,13,32,1,0
0,1,0,0,0,2.4,1,96,2,0
0,0,1,1,0,5,8,89,1,0
